일시,일시,기온(°C),습도(%),tem_in_loc1,hum_in_loc1,tem_coil_loc1,cond_loc1
2016-04-13 03:00:00,2016-04-13 03:00:00,12.4,77.0,16.0,60.0,13.0,0.0
2016-04-13 06:00:00,2016-04-13 06:00:00,11.4,92.3,16.0,60.0,14.0,0.0
2016-04-13 09:00:00,2016-04-13 09:00:00,12.0,92.3,16.0,65.0,14.0,0.0
2016-04-13 12:00:00,2016-04-13 12:00:00,16.9,92.3,16.0,62.0,15.0,0.0
2016-04-13 15:00:00,2016-04-13 15:00:00,18.5,77.8,16.0,60.0,14.0,0.0
2016-04-13 18:00:00,2016-04-13 18:00:00,18.2,74.3,17.0,57.0,15.0,0.0
2016-04-13 21:00:00,2016-04-13 21:00:00,12.4,92.3,16.0,59.0,13.0,0.0
2016-04-14 00:00:00,2016-04-14 00:00:00,9.6,92.3,15.0,58.0,13.0,0.0
2016-04-14 03:00:00,2016-04-14 03:00:00,8.9,92.3,15.0,60.0,11.0,0.0
2016-04-14 06:00:00,2016-04-14 06:00:00,8.4,92.3,14.0,62.0,10.0,0.0
2016-04-14 09:00:00,2016-04-14 09:00:00,8.2,92.3,14.0,62.0,10.0,0.0
2016-04-14 12:00:00,2016-04-14 12:00:00,9.8,92.3,17.0,55.0,14.0,0.0
2016-04-14 15:00:00,2016-04-14 15:00:00,14.7,72.2,20.0,40.0,17.0,0.0
2016-04-14 18:00:00,2016-04-14 18:00:00,15.9,69.9,20.0,40.0,15.0,0.0
2016-04-14 21:00:00,2016-04-14 21:00:00,9.0,92.3,19.0,41.0,13.0,0.0
2016-04-15 00:00:00,2016-04-15 00:00:00,6.7,92.3,16.0,50.0,12.0,0.0
2016-04-15 03:00:00,2016-04-15 03:00:00,4.4,92.3,14.0,52.0,11.3,0.0
2016-04-15 06:00:00,2016-04-15 06:00:00,4.6,92.3,15.0,53.0,9.2,0.0
2016-04-15 09:00:00,2016-04-15 09:00:00,8.1,92.3,16.0,55.0,14.0,0.0
2016-04-15 12:00:00,2016-04-15 12:00:00,19.1,45.7,18.0,49.0,15.0,0.0
2016-04-15 15:00:00,2016-04-15 15:00:00,22.3,21.3,19.0,54.0,16.0,0.0
2016-04-15 18:00:00,2016-04-15 18:00:00,18.1,36.8,19.0,58.0,15.0,0.0
2016-04-15 21:00:00,2016-04-15 21:00:00,11.5,65.4,18.0,64.0,14.0,0.0
2016-04-16 00:00:00,2016-04-16 00:00:00,8.9,84.5,17.0,80.0,14.0,1.0
2016-04-16 03:00:00,2016-04-16 03:00:00,7.7,89.5,15.0,72.0,13.0,0.0
2016-04-16 06:00:00,2016-04-16 06:00:00,7.3,91.3,14.0,68.0,13.0,0.0
2016-04-16 09:00:00,2016-04-16 09:00:00,15.7,47.8,14.0,66.0,13.0,0.0
2016-04-16 12:00:00,2016-04-16 12:00:00,18.5,54.1,16.0,56.0,15.0,0.0
2016-04-16 15:00:00,2016-04-16 15:00:00,18.9,61.1,18.0,46.0,16.0,0.0
2016-04-16 18:00:00,2016-04-16 18:00:00,13.6,92.3,18.4,35.0,15.0,0.0
2016-04-16 21:00:00,2016-04-16 21:00:00,12.8,92.3,17.0,30.0,14.0,0.0
2016-04-17 00:00:00,2016-04-17 00:00:00,13.9,92.3,15.0,38.0,13.0,0.0
2016-04-17 03:00:00,2016-04-17 03:00:00,9.6,92.3,15.0,42.0,11.0,0.0
2016-04-17 06:00:00,2016-04-17 06:00:00,9.0,91.1,14.0,48.0,10.0,0.0
2016-04-17 09:00:00,2016-04-17 09:00:00,9.8,87.9,14.0,49.0,13.0,0.0
2016-04-17 12:00:00,2016-04-17 12:00:00,12.8,70.0,17.0,37.0,16.0,0.0
2016-04-17 15:00:00,2016-04-17 15:00:00,14.3,42.8,19.0,40.0,17.0,0.0
2016-04-17 18:00:00,2016-04-17 18:00:00,13.1,31.3,18.6,48.0,16.0,0.0
2016-04-17 21:00:00,2016-04-17 21:00:00,9.5,54.5,17.0,60.0,14.0,0.0
2016-04-18 00:00:00,2016-04-18 00:00:00,8.9,58.6,15.0,56.0,13.0,0.0
2016-04-18 03:00:00,2016-04-18 03:00:00,8.3,67.4,13.0,58.0,12.0,0.0
2016-04-18 06:00:00,2016-04-18 06:00:00,6.2,83.5,13.0,61.0,11.0,0.0
2016-04-18 09:00:00,2016-04-18 09:00:00,12.4,53.2,14.0,59.0,14.0,0.0
2016-04-18 12:00:00,2016-04-18 12:00:00,16.3,51.6,17.0,49.0,16.0,0.0
2016-04-18 15:00:00,2016-04-18 15:00:00,14.9,74.5,19.0,40.0,17.0,0.0
2016-04-18 18:00:00,2016-04-18 18:00:00,11.0,86.4,17.0,45.0,17.0,0.0
2016-04-18 21:00:00,2016-04-18 21:00:00,9.2,85.9,17.0,48.0,14.0,0.0
2016-04-19 00:00:00,2016-04-19 00:00:00,7.6,85.8,17.0,52.0,14.0,0.0
2016-04-19 03:00:00,2016-04-19 03:00:00,6.9,88.1,16.0,57.0,13.0,0.0
2016-04-19 06:00:00,2016-04-19 06:00:00,6.0,92.3,15.0,60.0,12.0,0.0
2016-04-19 09:00:00,2016-04-19 09:00:00,10.2,79.0,15.0,62.0,13.0,0.0
2016-04-19 12:00:00,2016-04-19 12:00:00,14.2,48.3,17.0,47.0,15.0,0.0
2016-04-19 15:00:00,2016-04-19 15:00:00,17.2,37.9,18.0,48.0,16.0,0.0
2016-04-19 18:00:00,2016-04-19 18:00:00,13.5,61.8,17.0,58.0,15.0,0.0
2016-04-19 21:00:00,2016-04-19 21:00:00,9.7,79.9,17.0,64.0,15.0,0.0
2016-04-20 00:00:00,2016-04-20 00:00:00,8.7,90.6,17.0,63.0,14.0,0.0
2016-04-20 03:00:00,2016-04-20 03:00:00,7.9,92.3,16.0,66.0,13.0,0.0
2016-04-20 06:00:00,2016-04-20 06:00:00,7.2,92.3,16.0,68.0,14.0,0.0
2016-04-20 09:00:00,2016-04-20 09:00:00,13.3,52.1,16.0,70.0,15.0,0.0
2016-04-20 12:00:00,2016-04-20 12:00:00,17.7,50.9,17.0,75.0,14.0,0.0
2016-04-20 15:00:00,2016-04-20 15:00:00,15.3,61.9,18.0,74.0,17.0,0.0
2016-04-20 18:00:00,2016-04-20 18:00:00,13.1,92.3,19.0,70.0,17.0,0.0
2016-04-20 21:00:00,2016-04-20 21:00:00,11.4,92.3,18.0,67.0,17.0,0.0
2016-04-21 00:00:00,2016-04-21 00:00:00,10.4,92.3,17.0,70.0,16.0,0.0
2016-04-21 03:00:00,2016-04-21 03:00:00,10.4,92.3,17.0,74.0,16.0,0.0
2016-04-21 06:00:00,2016-04-21 06:00:00,10.4,92.3,17.0,71.0,16.0,0.0
2016-04-21 09:00:00,2016-04-21 09:00:00,10.8,92.3,18.0,68.0,16.0,0.0
2016-04-21 12:00:00,2016-04-21 12:00:00,13.0,92.3,20.0,64.0,18.0,0.0
2016-04-21 15:00:00,2016-04-21 15:00:00,17.0,82.1,21.0,62.0,19.0,0.0
2016-04-21 18:00:00,2016-04-21 18:00:00,14.8,87.8,18.0,66.0,16.0,0.0
2016-04-21 21:00:00,2016-04-21 21:00:00,13.0,92.3,18.0,64.0,16.0,0.0
2016-04-22 00:00:00,2016-04-22 00:00:00,12.4,92.3,17.0,61.0,16.0,0.0
2016-04-22 03:00:00,2016-04-22 03:00:00,11.7,92.3,17.0,61.0,16.0,0.0
2016-04-22 06:00:00,2016-04-22 06:00:00,10.8,92.3,16.0,59.0,16.0,0.0
2016-04-22 09:00:00,2016-04-22 09:00:00,13.5,90.6,16.0,60.0,15.0,0.0
2016-04-22 12:00:00,2016-04-22 12:00:00,20.0,73.5,18.0,58.0,15.0,0.0
2016-04-22 15:00:00,2016-04-22 15:00:00,15.5,84.1,19.0,54.0,16.0,0.0
2016-04-22 18:00:00,2016-04-22 18:00:00,12.1,92.3,19.0,20.0,16.0,0.0
2016-04-22 21:00:00,2016-04-22 21:00:00,11.1,92.3,18.0,22.0,16.0,0.0
2016-04-23 00:00:00,2016-04-23 00:00:00,9.6,92.3,18.0,27.0,16.0,0.0
2016-04-23 03:00:00,2016-04-23 03:00:00,8.7,92.3,17.0,39.0,15.0,0.0
2016-04-23 06:00:00,2016-04-23 06:00:00,8.5,92.3,16.0,45.0,14.0,0.0
2016-04-23 09:00:00,2016-04-23 09:00:00,10.5,92.3,16.0,54.0,13.0,0.0
2016-04-23 12:00:00,2016-04-23 12:00:00,14.9,75.4,17.0,42.0,15.0,0.0
2016-04-23 15:00:00,2016-04-23 15:00:00,17.2,49.0,19.0,32.0,19.0,0.0
2016-04-23 18:00:00,2016-04-23 18:00:00,14.6,46.9,22.0,30.0,17.0,0.0
2016-04-23 21:00:00,2016-04-23 21:00:00,10.9,47.9,20.0,30.0,15.0,0.0
2016-04-24 00:00:00,2016-04-24 00:00:00,6.8,73.5,18.0,34.0,15.0,0.0
2016-04-24 03:00:00,2016-04-24 03:00:00,6.2,71.8,17.0,40.0,15.0,0.0
2016-04-24 06:00:00,2016-04-24 06:00:00,5.4,83.1,16.0,44.0,14.0,0.0
2016-04-24 09:00:00,2016-04-24 09:00:00,12.3,69.0,17.0,48.0,14.0,0.0
2016-04-24 12:00:00,2016-04-24 12:00:00,17.3,33.1,19.0,40.0,17.0,0.0
2016-04-24 15:00:00,2016-04-24 15:00:00,20.8,31.5,21.0,25.0,18.0,0.0
2016-04-24 18:00:00,2016-04-24 18:00:00,18.3,36.0,22.0,10.0,20.0,0.0
2016-04-24 21:00:00,2016-04-24 21:00:00,10.8,67.5,20.0,20.0,20.0,0.0
2016-04-25 00:00:00,2016-04-25 00:00:00,8.1,80.6,20.0,22.0,18.0,0.0
2016-04-25 03:00:00,2016-04-25 03:00:00,7.2,69.8,19.0,33.0,16.0,0.0
2016-04-25 06:00:00,2016-04-25 06:00:00,7.5,67.5,18.0,40.0,16.0,0.0
2016-04-25 09:00:00,2016-04-25 09:00:00,14.7,47.3,19.0,47.0,16.0,0.0
2016-04-25 12:00:00,2016-04-25 12:00:00,20.4,30.3,20.0,40.0,18.0,0.0
2016-04-25 15:00:00,2016-04-25 15:00:00,22.8,24.9,24.0,38.0,20.0,0.0
2016-04-25 18:00:00,2016-04-25 18:00:00,18.4,26.2,24.0,37.0,20.0,0.0
2016-04-25 21:00:00,2016-04-25 21:00:00,12.2,42.8,23.0,42.0,21.0,0.0
2016-04-26 00:00:00,2016-04-26 00:00:00,10.2,52.0,22.0,50.0,18.0,0.0
2016-04-26 03:00:00,2016-04-26 03:00:00,8.6,55.4,21.0,49.0,19.0,0.0
2016-04-26 06:00:00,2016-04-26 06:00:00,8.0,61.5,21.0,47.0,19.0,0.0
2016-04-26 09:00:00,2016-04-26 09:00:00,16.2,54.5,20.0,38.0,18.0,0.0
2016-04-26 12:00:00,2016-04-26 12:00:00,23.7,33.1,20.0,37.0,18.0,0.0
2016-04-26 15:00:00,2016-04-26 15:00:00,25.6,34.2,20.0,36.0,19.0,0.0
2016-04-26 18:00:00,2016-04-26 18:00:00,21.0,56.6,20.0,48.0,19.0,0.0
2016-04-26 21:00:00,2016-04-26 21:00:00,18.0,65.6,19.0,55.0,19.0,0.0
2016-04-27 00:00:00,2016-04-27 00:00:00,15.8,72.9,19.0,52.0,18.0,0.0
2016-04-27 03:00:00,2016-04-27 03:00:00,14.8,79.5,19.0,54.0,17.0,0.0
2016-04-27 06:00:00,2016-04-27 06:00:00,16.5,47.8,18.0,50.0,17.0,0.0
2016-04-27 09:00:00,2016-04-27 09:00:00,16.1,45.2,18.0,52.0,17.0,0.0
2016-04-27 12:00:00,2016-04-27 12:00:00,16.6,48.9,19.0,42.0,19.0,0.0
2016-04-27 15:00:00,2016-04-27 15:00:00,14.4,80.6,21.0,35.0,20.0,0.0
2016-04-27 18:00:00,2016-04-27 18:00:00,12.2,88.1,23.0,31.0,21.0,0.0
2016-04-27 21:00:00,2016-04-27 21:00:00,12.1,87.4,21.0,37.0,20.0,0.0
2016-04-28 00:00:00,2016-04-28 00:00:00,11.4,91.9,18.0,52.0,16.0,0.0
2016-04-28 03:00:00,2016-04-28 03:00:00,11.4,82.7,17.0,57.0,16.0,0.0
2016-04-28 06:00:00,2016-04-28 06:00:00,10.3,85.5,17.0,58.0,16.0,0.0
2016-04-28 09:00:00,2016-04-28 09:00:00,14.1,67.5,17.0,60.0,15.0,0.0
2016-04-28 12:00:00,2016-04-28 12:00:00,18.9,45.5,20.0,50.0,19.0,0.0
2016-04-28 15:00:00,2016-04-28 15:00:00,19.4,34.6,22.0,45.0,21.0,0.0
2016-04-28 18:00:00,2016-04-28 18:00:00,17.5,42.3,22.0,47.0,20.0,0.0
2016-04-28 21:00:00,2016-04-28 21:00:00,11.4,85.8,21.0,47.0,20.0,0.0
2016-04-29 00:00:00,2016-04-29 00:00:00,9.9,91.8,18.0,54.0,17.0,0.0
2016-04-29 03:00:00,2016-04-29 03:00:00,8.3,92.3,17.0,50.0,13.0,0.0
2016-04-29 06:00:00,2016-04-29 06:00:00,7.4,92.3,16.0,56.0,11.0,0.0
2016-04-29 09:00:00,2016-04-29 09:00:00,14.6,66.4,17.0,52.0,17.0,0.0
2016-04-29 12:00:00,2016-04-29 12:00:00,18.2,46.1,20.0,41.0,19.0,0.0
2016-04-29 15:00:00,2016-04-29 15:00:00,19.8,51.2,21.0,39.0,20.0,0.0
2016-04-29 18:00:00,2016-04-29 18:00:00,17.1,60.9,21.0,38.0,18.0,0.0
2016-04-29 21:00:00,2016-04-29 21:00:00,11.7,83.9,20.0,34.0,17.0,0.0
2016-04-30 00:00:00,2016-04-30 00:00:00,10.2,92.3,21.0,60.0,17.0,0.0
2016-04-30 03:00:00,2016-04-30 03:00:00,9.5,85.5,21.0,64.0,18.0,0.0
2016-04-30 06:00:00,2016-04-30 06:00:00,11.2,64.0,20.0,62.0,16.0,0.0
2016-04-30 09:00:00,2016-04-30 09:00:00,16.2,47.2,20.0,64.0,20.0,0.0
2016-04-30 12:00:00,2016-04-30 12:00:00,20.1,39.8,24.0,53.0,22.0,0.0
2016-04-30 15:00:00,2016-04-30 15:00:00,20.4,37.6,25.0,47.0,24.0,0.0
2016-04-30 18:00:00,2016-04-30 18:00:00,16.9,48.1,23.0,68.0,21.0,0.0
2016-04-30 21:00:00,2016-04-30 21:00:00,14.3,53.0,22.0,72.0,20.0,0.0
2016-05-01 00:00:00,2016-05-01 00:00:00,14.4,47.2,21.0,75.0,19.0,0.0
2016-05-01 03:00:00,2016-05-01 03:00:00,14.3,45.8,21.0,80.0,18.0,1.0
2016-05-01 06:00:00,2016-05-01 06:00:00,14.6,41.9,21.0,82.0,19.0,0.0
2016-05-01 09:00:00,2016-05-01 09:00:00,17.6,36.2,20.0,83.0,20.0,0.0
2016-05-01 12:00:00,2016-05-01 12:00:00,22.1,27.7,19.0,64.0,18.0,0.0
2016-05-01 15:00:00,2016-05-01 15:00:00,22.7,32.6,18.0,63.0,17.0,0.0
2016-05-01 18:00:00,2016-05-01 18:00:00,20.0,42.9,17.0,60.0,17.0,0.0
2016-05-01 21:00:00,2016-05-01 21:00:00,16.5,79.1,16.0,54.0,17.0,0.0
2016-05-02 00:00:00,2016-05-02 00:00:00,17.1,79.8,21.0,60.0,17.0,0.0
2016-05-02 03:00:00,2016-05-02 03:00:00,15.6,90.8,21.0,64.0,18.0,0.0
2016-05-02 06:00:00,2016-05-02 06:00:00,13.5,92.3,20.0,62.0,16.0,0.0
2016-05-02 09:00:00,2016-05-02 09:00:00,21.1,57.5,20.0,64.0,20.0,0.0
2016-05-02 12:00:00,2016-05-02 12:00:00,26.5,45.0,24.0,53.0,22.0,0.0
2016-05-02 15:00:00,2016-05-02 15:00:00,25.0,44.0,25.0,47.0,24.0,0.0
2016-05-02 18:00:00,2016-05-02 18:00:00,18.8,90.6,23.0,68.0,21.0,0.0
2016-05-02 21:00:00,2016-05-02 21:00:00,16.8,92.3,22.0,72.0,20.0,0.0
2016-05-03 00:00:00,2016-05-03 00:00:00,16.7,92.3,21.0,75.0,19.0,0.0
2016-05-03 03:00:00,2016-05-03 03:00:00,17.5,92.3,21.0,80.0,18.0,1.0
2016-05-03 06:00:00,2016-05-03 06:00:00,17.5,92.3,21.0,82.0,19.0,0.0
2016-05-03 09:00:00,2016-05-03 09:00:00,16.4,92.3,20.0,83.0,20.0,0.0
2016-05-03 12:00:00,2016-05-03 12:00:00,11.4,92.3,19.0,64.0,18.0,0.0
2016-05-03 15:00:00,2016-05-03 15:00:00,11.4,88.8,18.0,63.0,17.0,0.0
2016-05-03 18:00:00,2016-05-03 18:00:00,10.7,79.0,17.0,60.0,17.0,0.0
2016-05-03 21:00:00,2016-05-03 21:00:00,10.4,78.0,16.0,54.0,17.0,0.0
2016-05-04 00:00:00,2016-05-04 00:00:00,11.4,67.5,16.0,52.0,16.0,0.0
2016-05-04 03:00:00,2016-05-04 03:00:00,12.8,57.3,17.0,46.0,17.0,0.0
2016-05-04 06:00:00,2016-05-04 06:00:00,13.2,55.5,18.0,40.0,17.0,0.0
2016-05-04 09:00:00,2016-05-04 09:00:00,17.7,42.5,19.0,37.0,17.0,0.0
2016-05-04 12:00:00,2016-05-04 12:00:00,20.8,24.1,22.0,22.0,20.0,0.0
2016-05-04 15:00:00,2016-05-04 15:00:00,18.6,38.9,24.0,10.0,22.0,0.0
2016-05-04 18:00:00,2016-05-04 18:00:00,17.2,33.9,22.0,25.0,20.0,0.0
2016-05-04 21:00:00,2016-05-04 21:00:00,13.7,46.5,21.0,27.0,19.0,0.0
2016-05-05 00:00:00,2016-05-05 00:00:00,10.7,84.7,20.0,32.0,18.0,0.0
2016-05-05 03:00:00,2016-05-05 03:00:00,10.1,84.6,18.0,42.0,16.0,0.0
2016-05-05 06:00:00,2016-05-05 06:00:00,8.1,92.3,17.0,48.0,15.0,0.0
2016-05-05 09:00:00,2016-05-05 09:00:00,17.0,53.0,18.0,50.0,18.0,0.0
2016-05-05 12:00:00,2016-05-05 12:00:00,23.3,36.2,21.0,42.0,20.0,0.0
