,일시,기상온도,기상습도,tem_in_loc1,hum_in_loc1,tem_coil_loc1,tem_out_loc1,hum_out_loc1,cond_loc1,24시간,48시간,24,48
32,2016-04-05 00:00:00,0.0,93.4,6.1,69.14,4.95,1.51,89.22,0,2016-04-04 00:00:00,2016-04-03 00:00:00,0.0,0.0
33,2016-04-05 03:00:00,-0.1,93.4,5.9,69.02,4.91,1.45,88.03,0,2016-04-04 03:00:00,2016-04-03 03:00:00,0.0,0.0
34,2016-04-05 06:00:00,0.0,93.4,6.0,69.54,4.99,1.58,86.75,0,2016-04-04 06:00:00,2016-04-03 06:00:00,0.0,0.0
35,2016-04-05 09:00:00,0.0,93.4,6.0,69.14,5.02,1.64,82.08,0,2016-04-04 09:00:00,2016-04-03 09:00:00,0.0,0.0
36,2016-04-05 12:00:00,0.0,93.4,5.8,67.58,4.99,1.58,79.91,0,2016-04-04 12:00:00,2016-04-03 12:00:00,0.0,0.0
37,2016-04-05 15:00:00,-0.1,93.4,5.8,66.48,5.1,1.82,78.48,0,2016-04-04 15:00:00,2016-04-03 15:00:00,0.0,0.0
38,2016-04-05 18:00:00,1.9,93.4,7.7,65.35,5.44,3.07,83.97,0,2016-04-04 18:00:00,2016-04-03 18:00:00,0.0,0.0
39,2016-04-05 21:00:00,2.2,93.4,8.0,67.58,5.86,3.53,84.19,0,2016-04-04 21:00:00,2016-04-03 21:00:00,0.0,0.0
40,2016-04-06 00:00:00,2.2,93.4,7.8,65.9,5.6,3.74,79.06,0,2016-04-05 00:00:00,2016-04-04 00:00:00,0.0,0.0
41,2016-04-06 03:00:00,2.1,93.4,7.6,65.38,5.67,3.77,77.05,0,2016-04-05 03:00:00,2016-04-04 03:00:00,0.0,0.0
42,2016-04-06 06:00:00,1.2,93.4,6.4,66.3,3.57,2.43,84.62,0,2016-04-05 06:00:00,2016-04-04 06:00:00,0.0,0.0
43,2016-04-06 09:00:00,-0.6,93.4,6.3,67.52,3.54,1.94,87.39,0,2016-04-05 09:00:00,2016-04-04 09:00:00,0.0,0.0
44,2016-04-06 12:00:00,-0.4,93.4,6.2,68.59,3.57,2.0,87.06,0,2016-04-05 12:00:00,2016-04-04 12:00:00,0.0,0.0
45,2016-04-06 15:00:00,-1.4,93.4,6.2,67.74,3.65,1.97,87.48,0,2016-04-05 15:00:00,2016-04-04 15:00:00,0.0,0.0
46,2016-04-06 18:00:00,-1.3,93.4,6.6,68.35,3.69,2.4,75.37,0,2016-04-05 18:00:00,2016-04-04 18:00:00,0.0,0.0
47,2016-04-06 21:00:00,11.6,75.6,11.6,65.32,6.36,11.56,63.43,0,2016-04-05 21:00:00,2016-04-04 21:00:00,0.0,0.0
48,2016-04-07 00:00:00,4.5,93.4,10.4,73.96,7.47,5.82,85.65,0,2016-04-06 00:00:00,2016-04-05 00:00:00,0.0,0.0
49,2016-04-07 03:00:00,2.7,93.4,9.0,68.22,6.78,4.38,81.84,0,2016-04-06 03:00:00,2016-04-05 03:00:00,0.0,0.0
50,2016-04-07 06:00:00,2.0,93.4,8.2,65.6,6.59,3.56,80.16,0,2016-04-06 06:00:00,2016-04-05 06:00:00,0.0,0.0
51,2016-04-07 09:00:00,6.5,84.8,8.6,67.46,4.8,5.09,84.1,0,2016-04-06 09:00:00,2016-04-05 09:00:00,0.0,0.0
52,2016-04-07 12:00:00,5.9,93.4,8.5,70.05,4.87,5.79,85.13,0,2016-04-06 12:00:00,2016-04-05 12:00:00,0.0,0.0
53,2016-04-07 15:00:00,7.1,93.4,8.7,71.61,5.06,6.15,84.28,0,2016-04-06 15:00:00,2016-04-05 15:00:00,0.0,0.0
54,2016-04-07 18:00:00,3.4,93.4,8.4,74.45,5.63,4.75,81.9,0,2016-04-06 18:00:00,2016-04-05 18:00:00,0.0,0.0
55,2016-04-07 21:00:00,1.4,93.4,7.5,69.26,5.6,3.47,77.59,0,2016-04-06 21:00:00,2016-04-05 21:00:00,0.0,0.0
56,2016-04-08 00:00:00,1.4,93.4,6.9,65.69,4.68,2.46,87.09,0,2016-04-07 00:00:00,2016-04-06 00:00:00,0.0,0.0
57,2016-04-08 03:00:00,2.1,93.4,7.1,67.31,4.76,2.89,87.7,0,2016-04-07 03:00:00,2016-04-06 03:00:00,0.0,0.0
58,2016-04-08 06:00:00,2.5,93.4,7.0,70.94,4.68,2.89,88.74,0,2016-04-07 06:00:00,2016-04-06 06:00:00,0.0,0.0
59,2016-04-08 09:00:00,2.5,93.4,7.6,69.69,4.83,3.04,90.17,0,2016-04-07 09:00:00,2016-04-06 09:00:00,0.0,0.0
60,2016-04-08 12:00:00,2.3,93.4,7.7,70.67,4.83,3.04,91.12,0,2016-04-07 12:00:00,2016-04-06 12:00:00,0.0,0.0
61,2016-04-08 15:00:00,1.5,93.4,7.7,70.97,4.91,2.46,90.75,0,2016-04-07 15:00:00,2016-04-06 15:00:00,0.0,0.0
62,2016-04-08 18:00:00,1.6,93.4,7.7,70.05,4.99,2.58,91.3,0,2016-04-07 18:00:00,2016-04-06 18:00:00,0.0,0.0
63,2016-04-08 21:00:00,1.7,93.4,7.6,71.09,5.1,2.8,92.09,0,2016-04-07 21:00:00,2016-04-06 21:00:00,0.0,0.0
64,2016-04-09 00:00:00,1.4,93.4,6.8,69.81,5.1,2.55,89.99,0,2016-04-08 00:00:00,2016-04-07 00:00:00,0.0,0.0
65,2016-04-09 03:00:00,0.9,93.4,6.7,69.81,5.14,2.61,85.65,0,2016-04-08 03:00:00,2016-04-07 03:00:00,0.0,0.0
66,2016-04-09 06:00:00,0.4,93.4,6.4,66.3,4.91,2.16,80.01,0,2016-04-08 06:00:00,2016-04-07 06:00:00,0.0,0.0
67,2016-04-09 09:00:00,-0.2,93.4,8.1,65.08,6.32,3.5,81.53,0,2016-04-08 09:00:00,2016-04-07 09:00:00,0.0,0.0
68,2016-04-09 12:00:00,0.3,93.4,7.8,65.38,6.28,3.22,81.14,0,2016-04-08 12:00:00,2016-04-07 12:00:00,0.0,0.0
69,2016-04-09 15:00:00,3.7,93.4,10.1,66.91,8.34,5.12,84.92,0,2016-04-08 15:00:00,2016-04-07 15:00:00,0.0,0.0
70,2016-04-09 18:00:00,12.0,91.5,13.8,67.46,11.51,12.01,78.33,0,2016-04-08 18:00:00,2016-04-07 18:00:00,0.0,0.0
71,2016-04-09 21:00:00,12.3,93.4,14.2,71.0,11.63,12.47,78.97,0,2016-04-08 21:00:00,2016-04-07 21:00:00,0.0,0.0
72,2016-04-10 00:00:00,12.9,93.4,14.5,73.32,11.78,12.87,79.7,0,2016-04-09 00:00:00,2016-04-08 00:00:00,0.0,0.0
73,2016-04-10 03:00:00,9.3,93.4,9.2,71.61,7.28,10.15,72.31,0,2016-04-09 03:00:00,2016-04-08 03:00:00,0.0,0.0
74,2016-04-10 06:00:00,11.3,83.6,10.3,76.25,7.47,13.3,60.01,0,2016-04-09 06:00:00,2016-04-08 06:00:00,0.0,0.0
75,2016-04-10 09:00:00,10.3,85.5,11.8,68.86,7.7,10.76,70.54,0,2016-04-09 09:00:00,2016-04-08 09:00:00,0.0,0.0
76,2016-04-10 12:00:00,7.4,93.4,11.0,72.95,7.58,7.99,83.24,0,2016-04-09 12:00:00,2016-04-08 12:00:00,0.0,0.0
77,2016-04-10 15:00:00,6.8,93.4,11.0,73.05,7.54,8.32,80.25,0,2016-04-09 15:00:00,2016-04-08 15:00:00,0.0,0.0
78,2016-04-10 18:00:00,6.6,93.4,11.0,71.46,7.62,8.93,76.47,0,2016-04-09 18:00:00,2016-04-08 18:00:00,0.0,0.0
79,2016-04-10 21:00:00,6.2,93.4,10.9,70.48,7.77,7.59,84.34,0,2016-04-09 21:00:00,2016-04-08 21:00:00,0.0,0.0
80,2016-04-11 00:00:00,5.5,93.4,10.7,71.37,7.81,7.1,84.71,0,2016-04-10 00:00:00,2016-04-09 00:00:00,0.0,0.0
81,2016-04-11 03:00:00,4.6,93.4,10.6,71.61,7.81,7.37,88.03,0,2016-04-10 03:00:00,2016-04-09 03:00:00,0.0,0.0
82,2016-04-11 06:00:00,3.3,93.4,10.7,69.26,7.81,6.15,88.89,0,2016-04-10 06:00:00,2016-04-09 06:00:00,0.0,0.0
83,2016-04-11 09:00:00,2.3,93.4,10.7,68.44,7.89,5.67,84.92,0,2016-04-10 09:00:00,2016-04-09 09:00:00,0.0,0.0
84,2016-04-11 12:00:00,2.2,93.4,10.6,66.88,7.96,5.24,87.21,0,2016-04-10 12:00:00,2016-04-09 12:00:00,0.0,0.0
85,2016-04-11 15:00:00,3.2,93.4,10.5,67.12,8.08,6.31,82.45,0,2016-04-10 15:00:00,2016-04-09 15:00:00,0.0,0.0
86,2016-04-11 18:00:00,4.9,93.4,10.7,66.91,8.0,9.54,62.45,0,2016-04-10 18:00:00,2016-04-09 18:00:00,0.0,0.0
87,2016-04-11 21:00:00,6.4,93.4,11.2,65.17,8.12,11.04,54.0,0,2016-04-10 21:00:00,2016-04-09 21:00:00,0.0,0.0
88,2016-04-12 00:00:00,8.3,90.2,11.0,65.93,8.65,8.75,73.5,0,2016-04-11 00:00:00,2016-04-10 00:00:00,0.0,0.0
89,2016-04-12 03:00:00,8.0,91.4,11.3,66.21,8.57,9.36,72.62,0,2016-04-11 03:00:00,2016-04-10 03:00:00,0.0,0.0
90,2016-04-12 06:00:00,9.0,93.4,11.6,68.35,8.84,10.34,81.38,0,2016-04-11 06:00:00,2016-04-10 06:00:00,0.0,0.0
91,2016-04-12 09:00:00,8.0,93.4,12.1,71.98,9.11,9.08,79.7,0,2016-04-11 09:00:00,2016-04-10 09:00:00,0.0,0.0
92,2016-04-12 12:00:00,6.4,86.3,11.9,67.7,9.15,8.5,78.79,0,2016-04-11 12:00:00,2016-04-10 12:00:00,0.0,0.0
93,2016-04-12 15:00:00,5.9,93.4,8.6,73.17,6.25,6.4,83.82,0,2016-04-11 15:00:00,2016-04-10 15:00:00,0.0,0.0
94,2016-04-12 18:00:00,6.8,93.4,9.0,75.24,6.36,8.29,73.08,0,2016-04-11 18:00:00,2016-04-10 18:00:00,0.0,0.0
95,2016-04-12 21:00:00,8.9,93.4,9.3,76.37,6.4,7.99,78.94,0,2016-04-11 21:00:00,2016-04-10 21:00:00,0.0,0.0
96,2016-04-13 00:00:00,9.5,73.0,10.7,71.86,6.89,9.05,76.31,0,2016-04-12 00:00:00,2016-04-11 00:00:00,0.0,0.0
97,2016-04-13 03:00:00,9.0,79.4,11.1,70.76,7.08,8.6,76.28,0,2016-04-12 03:00:00,2016-04-11 03:00:00,0.0,0.0
98,2016-04-13 06:00:00,6.8,89.3,11.1,70.21,7.08,8.26,75.37,0,2016-04-12 06:00:00,2016-04-11 06:00:00,0.0,0.0
99,2016-04-13 09:00:00,6.2,93.4,11.0,68.86,7.24,7.86,78.39,0,2016-04-12 09:00:00,2016-04-11 09:00:00,0.0,0.0
100,2016-04-13 12:00:00,5.7,93.4,10.8,68.5,7.2,6.58,81.23,0,2016-04-12 12:00:00,2016-04-11 12:00:00,0.0,0.0
101,2016-04-13 15:00:00,5.0,93.4,10.3,67.95,7.31,6.4,84.31,0,2016-04-12 15:00:00,2016-04-11 15:00:00,0.0,0.0
102,2016-04-13 18:00:00,4.7,93.4,10.1,67.95,7.28,5.73,85.16,0,2016-04-12 18:00:00,2016-04-11 18:00:00,0.0,0.0
103,2016-04-13 21:00:00,4.3,93.4,10.1,67.8,7.28,5.33,87.0,0,2016-04-12 21:00:00,2016-04-11 21:00:00,0.0,0.0
104,2016-04-14 00:00:00,5.2,91.3,9.9,67.77,7.35,5.02,87.52,0,2016-04-13 00:00:00,2016-04-12 00:00:00,0.0,0.0
105,2016-04-14 03:00:00,4.5,93.4,9.8,66.42,7.43,5.15,82.84,0,2016-04-13 03:00:00,2016-04-12 03:00:00,0.0,0.0
106,2016-04-14 06:00:00,5.0,93.0,10.1,66.39,7.7,7.47,69.6,0,2016-04-13 06:00:00,2016-04-12 06:00:00,0.0,0.0
107,2016-04-14 09:00:00,2.6,93.4,7.5,66.85,5.14,3.22,85.04,0,2016-04-13 09:00:00,2016-04-12 09:00:00,0.0,0.0
108,2016-04-14 12:00:00,3.1,93.4,7.5,67.64,5.02,2.92,85.81,0,2016-04-13 12:00:00,2016-04-12 12:00:00,0.0,0.0
109,2016-04-14 15:00:00,3.4,93.4,7.3,69.29,4.99,2.8,87.52,0,2016-04-13 15:00:00,2016-04-12 15:00:00,0.0,0.0
110,2016-04-14 18:00:00,3.5,93.4,7.2,69.54,5.02,2.74,87.94,0,2016-04-13 18:00:00,2016-04-12 18:00:00,0.0,0.0
111,2016-04-14 21:00:00,3.9,93.4,7.3,71.06,5.1,4.02,86.78,0,2016-04-13 21:00:00,2016-04-12 21:00:00,0.0,0.0
112,2016-04-15 00:00:00,3.0,93.4,7.6,71.06,5.14,3.96,84.46,0,2016-04-14 00:00:00,2016-04-13 00:00:00,0.0,0.0
113,2016-04-15 03:00:00,2.0,93.4,8.0,69.93,5.18,5.21,77.5,0,2016-04-14 03:00:00,2016-04-13 03:00:00,0.0,0.0
114,2016-04-15 06:00:00,0.7,93.4,8.0,69.41,5.33,4.02,81.62,0,2016-04-14 06:00:00,2016-04-13 06:00:00,0.0,0.0
115,2016-04-15 09:00:00,1.1,93.4,7.9,67.58,5.29,3.01,88.55,0,2016-04-14 09:00:00,2016-04-13 09:00:00,0.0,0.0
116,2016-04-15 12:00:00,1.1,93.4,7.8,66.91,5.33,2.34,89.16,0,2016-04-14 12:00:00,2016-04-13 12:00:00,0.0,0.0
117,2016-04-15 15:00:00,4.6,93.4,7.0,67.64,4.64,3.62,81.99,0,2016-04-14 15:00:00,2016-04-13 15:00:00,0.0,0.0
118,2016-04-15 18:00:00,5.0,93.4,7.4,72.01,4.8,4.78,83.91,0,2016-04-14 18:00:00,2016-04-13 18:00:00,0.0,0.0
119,2016-04-15 21:00:00,5.5,93.4,7.6,75.46,4.83,5.7,87.06,0,2016-04-14 21:00:00,2016-04-13 21:00:00,0.0,0.0
120,2016-04-16 00:00:00,8.7,75.3,8.7,73.99,5.29,9.88,63.31,0,2016-04-15 00:00:00,2016-04-14 00:00:00,0.0,0.0
121,2016-04-16 03:00:00,8.2,69.0,9.5,65.05,5.52,10.21,55.68,0,2016-04-15 03:00:00,2016-04-14 03:00:00,0.0,0.0
122,2016-04-16 06:00:00,1.1,93.4,5.3,65.84,3.0,1.06,85.56,0,2016-04-15 06:00:00,2016-04-14 06:00:00,0.0,0.0
123,2016-04-16 09:00:00,0.5,93.4,5.0,67.12,3.15,0.42,85.59,0,2016-04-15 09:00:00,2016-04-14 09:00:00,0.0,0.0
124,2016-04-16 12:00:00,-0.1,93.4,4.8,66.36,3.15,0.05,87.18,0,2016-04-15 12:00:00,2016-04-14 12:00:00,0.0,0.0
125,2016-04-16 15:00:00,-1.4,93.4,4.9,66.24,3.0,1.54,87.94,0,2016-04-15 15:00:00,2016-04-14 15:00:00,0.0,0.0
126,2016-04-16 18:00:00,-0.6,93.4,5.3,67.28,3.27,1.73,78.33,0,2016-04-15 18:00:00,2016-04-14 18:00:00,0.0,0.0
127,2016-04-16 21:00:00,-1.6,93.4,5.4,65.42,3.38,0.6,81.9,0,2016-04-15 21:00:00,2016-04-14 21:00:00,0.0,0.0
128,2016-04-17 00:00:00,4.6,93.4,6.8,65.87,4.34,3.47,79.4,0,2016-04-16 00:00:00,2016-04-15 00:00:00,0.0,0.0
129,2016-04-17 03:00:00,4.5,93.4,7.0,66.42,4.45,3.47,79.55,0,2016-04-16 03:00:00,2016-04-15 03:00:00,0.0,0.0
130,2016-04-17 06:00:00,4.0,93.4,6.9,66.79,4.45,3.19,81.38,0,2016-04-16 06:00:00,2016-04-15 06:00:00,0.0,0.0
131,2016-04-17 09:00:00,4.3,93.4,6.7,67.12,4.49,2.92,81.99,0,2016-04-16 09:00:00,2016-04-15 09:00:00,0.0,0.0
132,2016-04-17 12:00:00,4.4,93.4,6.6,67.74,4.53,2.86,84.13,0,2016-04-16 12:00:00,2016-04-15 12:00:00,0.0,0.0
133,2016-04-17 15:00:00,3.7,93.4,6.5,68.38,4.41,2.46,85.2,0,2016-04-16 15:00:00,2016-04-15 15:00:00,0.0,0.0
134,2016-04-17 18:00:00,3.2,93.4,6.3,68.86,4.41,2.22,86.6,0,2016-04-16 18:00:00,2016-04-15 18:00:00,0.0,0.0
135,2016-04-17 21:00:00,3.8,93.4,6.3,69.75,4.6,3.53,83.73,0,2016-04-16 21:00:00,2016-04-15 21:00:00,0.0,0.0
136,2016-04-18 00:00:00,6.0,93.4,6.5,72.59,4.53,5.63,76.53,0,2016-04-17 00:00:00,2016-04-16 00:00:00,0.0,0.0
137,2016-04-18 03:00:00,7.3,91.6,7.2,74.51,4.68,9.69,60.65,0,2016-04-17 03:00:00,2016-04-16 03:00:00,0.0,0.0
138,2016-04-18 06:00:00,9.3,73.4,9.8,67.55,5.41,9.24,65.11,0,2016-04-17 06:00:00,2016-04-16 06:00:00,0.0,0.0
139,2016-04-18 09:00:00,8.1,82.0,9.8,67.49,5.48,7.8,72.71,0,2016-04-17 09:00:00,2016-04-16 09:00:00,0.0,0.0
140,2016-04-18 12:00:00,5.9,90.6,9.4,68.59,5.52,5.09,78.45,0,2016-04-17 12:00:00,2016-04-16 12:00:00,0.0,0.0
141,2016-04-18 15:00:00,3.2,93.4,9.2,69.87,5.48,5.94,83.58,0,2016-04-17 15:00:00,2016-04-16 15:00:00,0.0,0.0
142,2016-04-18 18:00:00,3.7,93.4,8.8,69.6,5.48,3.47,86.2,0,2016-04-17 18:00:00,2016-04-16 18:00:00,0.0,0.0
143,2016-04-18 21:00:00,4.9,93.4,8.4,69.66,5.52,3.19,86.11,0,2016-04-17 21:00:00,2016-04-16 21:00:00,0.0,0.0
144,2016-04-19 00:00:00,4.7,93.4,8.2,69.08,5.41,3.68,88.46,0,2016-04-18 00:00:00,2016-04-17 00:00:00,0.0,0.0
145,2016-04-19 03:00:00,3.9,93.4,8.0,69.38,5.52,3.77,86.54,0,2016-04-18 03:00:00,2016-04-17 03:00:00,0.0,0.0
146,2016-04-19 06:00:00,3.9,93.4,7.8,71.31,5.37,4.35,87.24,0,2016-04-18 06:00:00,2016-04-17 06:00:00,0.0,0.0
147,2016-04-19 09:00:00,3.9,93.4,7.8,70.45,5.56,3.62,86.87,0,2016-04-18 09:00:00,2016-04-17 09:00:00,0.0,0.0
148,2016-04-19 12:00:00,3.5,93.4,7.8,69.47,5.6,3.71,85.2,0,2016-04-18 12:00:00,2016-04-17 12:00:00,0.0,0.0
149,2016-04-19 15:00:00,4.3,93.4,7.8,68.83,5.48,4.26,83.94,0,2016-04-18 15:00:00,2016-04-17 15:00:00,0.0,0.0
150,2016-04-19 18:00:00,4.0,93.4,8.0,69.41,5.52,4.38,82.23,0,2016-04-18 18:00:00,2016-04-17 18:00:00,0.0,0.0
151,2016-04-19 21:00:00,3.5,93.4,8.0,70.3,5.75,5.12,80.95,0,2016-04-18 21:00:00,2016-04-17 21:00:00,0.0,0.0
152,2016-04-20 00:00:00,4.0,93.4,7.9,69.87,5.9,4.2,83.88,0,2016-04-19 00:00:00,2016-04-18 00:00:00,0.0,0.0
153,2016-04-20 03:00:00,4.2,93.4,7.9,69.72,5.63,4.29,84.0,0,2016-04-19 03:00:00,2016-04-18 03:00:00,0.0,0.0
154,2016-04-20 06:00:00,3.9,93.4,7.8,71.15,5.67,4.38,85.9,0,2016-04-19 06:00:00,2016-04-18 06:00:00,0.0,0.0
155,2016-04-20 09:00:00,4.1,93.4,7.9,72.92,5.75,4.72,88.58,0,2016-04-19 09:00:00,2016-04-18 09:00:00,0.0,0.0
156,2016-04-20 12:00:00,4.3,93.4,8.0,74.73,5.79,4.78,88.74,0,2016-04-19 12:00:00,2016-04-18 12:00:00,0.0,0.0
157,2016-04-20 15:00:00,4.7,93.4,8.1,75.73,5.71,4.69,89.74,0,2016-04-19 15:00:00,2016-04-18 15:00:00,0.0,0.0
158,2016-04-20 18:00:00,4.3,93.4,8.3,76.07,5.79,5.12,90.93,0,2016-04-19 18:00:00,2016-04-18 18:00:00,0.0,0.0
159,2016-04-20 21:00:00,4.3,93.4,8.5,76.59,5.83,4.69,90.35,0,2016-04-19 21:00:00,2016-04-18 21:00:00,0.0,0.0
160,2016-04-21 00:00:00,4.2,93.4,8.9,73.99,5.94,5.3,88.74,0,2016-04-20 00:00:00,2016-04-19 00:00:00,0.0,0.0
161,2016-04-21 03:00:00,2.7,93.4,8.4,70.79,6.13,3.96,84.74,0,2016-04-20 03:00:00,2016-04-19 03:00:00,0.0,0.0
162,2016-04-21 06:00:00,3.1,93.4,8.1,70.02,6.17,4.26,81.07,0,2016-04-20 06:00:00,2016-04-19 06:00:00,0.0,0.0
163,2016-04-21 09:00:00,3.1,93.4,7.9,66.0,5.98,4.66,76.65,0,2016-04-20 09:00:00,2016-04-19 09:00:00,0.0,0.0
164,2016-04-21 12:00:00,3.2,92.0,5.7,65.02,3.15,3.32,74.94,0,2016-04-20 12:00:00,2016-04-19 12:00:00,0.0,0.0
165,2016-04-21 15:00:00,5.1,87.2,6.2,66.27,3.35,4.78,69.78,0,2016-04-20 15:00:00,2016-04-19 15:00:00,0.0,0.0
166,2016-04-21 18:00:00,6.5,84.0,6.6,67.7,3.35,5.09,70.42,0,2016-04-20 18:00:00,2016-04-19 18:00:00,0.0,0.0
167,2016-04-21 21:00:00,6.5,81.5,7.4,68.1,3.54,5.7,71.73,0,2016-04-20 21:00:00,2016-04-19 21:00:00,0.0,0.0
168,2016-04-22 00:00:00,6.6,77.6,7.7,68.77,3.57,5.36,72.68,0,2016-04-21 00:00:00,2016-04-20 00:00:00,0.0,0.0
169,2016-04-22 03:00:00,6.3,82.9,8.1,66.61,3.65,5.48,69.75,0,2016-04-21 03:00:00,2016-04-20 03:00:00,0.0,0.0
170,2016-04-22 06:00:00,1.5,93.4,7.2,66.3,4.91,2.49,85.99,0,2016-04-21 06:00:00,2016-04-20 06:00:00,0.0,0.0
171,2016-04-22 09:00:00,0.6,93.4,7.2,66.45,4.87,1.88,87.79,0,2016-04-21 09:00:00,2016-04-20 09:00:00,0.0,0.0
172,2016-04-22 12:00:00,0.0,93.4,7.0,66.27,4.87,1.03,88.86,0,2016-04-21 12:00:00,2016-04-20 12:00:00,0.0,0.0
173,2016-04-22 15:00:00,-0.1,93.4,6.7,66.06,4.87,0.75,90.35,0,2016-04-21 15:00:00,2016-04-20 15:00:00,0.0,0.0
174,2016-04-22 18:00:00,-0.1,93.4,6.7,66.45,4.83,1.88,91.06,0,2016-04-21 18:00:00,2016-04-20 18:00:00,0.0,0.0
